name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink 
Kepler-1559 b,2006,0.299 Earths,14.549,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2434/kepler-1559-b/
Kepler-1542 c,1302,0.208 Earths,12.734,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2427/kepler-1542-c/
Kepler-1542 d,1302,0.59 Earths,12.734,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2412/kepler-1542-d/
Kepler-1542 e,1302,0.363 Earths,12.734,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2413/kepler-1542-e/
Kepler-1543 b,3007,7.8 Earths,13.495,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2414/kepler-1543-b/
Kepler-1544 b,1093,3.82 Earths,14.287,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2415/kepler-1544-b/
Kepler-1545 b,2381,7.75 Earths,15.256,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2416/kepler-1545-b/
Kepler-1546 b,3040,9.96 Earths,15.596,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2417/kepler-1546-b/
Kepler-1547 b,2201,0.666 Earths,13.464,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2418/kepler-1547-b/
Kepler-1548 b,2845,7.46 Earths,15.324,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2419/kepler-1548-b/
Kepler-1549 b,2620,7.13 Earths,15.353,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2420/kepler-1549-b/
Kepler-154 b,2985,5.73 Earths,14.646,2014,https://exoplanets.nasa.gov/exoplanet-catalog/5951/kepler-154-b/
Kepler-154 c,2985,9.01 Earths,14.646,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1666/kepler-154-c/
Kepler-154 d,2985,14.1 Earths,14.646,2016,https://exoplanets.nasa.gov/exoplanet-catalog/6010/kepler-154-d/
Kepler-154 e,2985,2.86 Earths,14.646,2016,https://exoplanets.nasa.gov/exoplanet-catalog/6011/kepler-154-e/
Kepler-154 f,2985,2.86 Earths,14.646,2016,https://exoplanets.nasa.gov/exoplanet-catalog/6012/kepler-154-f/
Kepler-1550 b,3846,9.38 Earths,15.107,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2421/kepler-1550-b/
Kepler-1551 b,4775,7.56 Earths,15.371,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2422/kepler-1551-b/
Kepler-1552 b,2509,6.66 Earths,15.203,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2423/kepler-1552-b/
Kepler-1553 b,2259,1.6 Earths,15.251,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2428/kepler-1553-b/
Kepler-1554 b,3089,8.75 Earths,15.93,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2429/kepler-1554-b/
Kepler-1555 b,6567,3.22 Earths,15.425,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2430/kepler-1555-b/
Kepler-1556 b,3081,4.5 Earths,15.651,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2431/kepler-1556-b/
Kepler-1557 b,4502,2.96 Earths,15.383,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2432/kepler-1557-b/
Kepler-1558 b,1063,0.244 Earths,13.809,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2433/kepler-1558-b/
Kepler-1559 b,2006,0.299 Earths,14.549,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2434/kepler-1559-b/
Kepler-157 c,2524,5.65 Earths,14.206,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1752/kepler-157-c/
Kepler-157 d,2524,2.73 Earths,14.206,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5701/kepler-157-d/
Kepler-1580 b,3269,5.1 Earths,12.635,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2455/kepler-1580-b/
Kepler-1581 b,1609,0.437 Earths,12.442,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2456/kepler-1581-b/
Kepler-1582 b,257,2.83 Earths,17.96,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2457/kepler-1582-b/
Kepler-1583 b,1318,0.156 Earths,12.976,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2458/kepler-1583-b/
Kepler-1584 b,4620,3.22 Earths,15.105,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2459/kepler-1584-b/
Kepler-1585 b,3081,3.86 Earths,16.326,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2460/kepler-1585-b/
Kepler-1586 b,1802,2.92 Earths,13.278,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2461/kepler-1586-b/
Kepler-1587 b,3348,2.33 Earths,14.166,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2462/kepler-1587-b/
Kepler-1588 b,3015,0.363 Earths,13.94,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2463/kepler-1588-b/
Kepler-1589 b,4936,1.32 Earths,15.074,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2464/kepler-1589-b/
Kepler-158 b,1028,5.14 Earths,14.743,2014,https://exoplanets.nasa.gov/exoplanet-catalog/5953/kepler-158-b/
Kepler-158 c,1028,4.27 Earths,14.743,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1753/kepler-158-c/
Kepler-1590 b,2515,1.55 Earths,14.186,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2465/kepler-1590-b/
Kepler-1591 b,4631,2.15 Earths,14.846,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2466/kepler-1591-b/
Kepler-1592 b,5348,2.99 Earths,14.94,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2467/kepler-1592-b/
Kepler-1593 b,2082,10.2 Earths,16.19,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2468/kepler-1593-b/
Kepler-1594 b,3187,1.2 Earths,14.951,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2469/kepler-1594-b/
Kepler-1595 b,2756,2.04 Earths,15.508,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2470/kepler-1595-b/
Kepler-1596 b,7001,4.27 Earths,15.632,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2471/kepler-1596-b/
Kepler-1597 b,3983,1.2 Earths,14.257,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2472/kepler-1597-b/
Kepler-1598 b,2022,0.809 Earths,13.929,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2473/kepler-1598-b/
Kepler-1599 b,4333,3.26 Earths,14.97,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2245/kepler-1599-b/
Kepler-159 b,1219,6.26 Earths,15.386,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1754/kepler-159-b/
Kepler-159 c,1219,11.5 Earths,15.386,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1755/kepler-159-c/
Kepler-15 b,2412,0.66 Jupiters,13.81,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1813/kepler-15-b/
Kepler-1600 b,3363,9.96 Earths,16.076,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2246/kepler-1600-b/
Kepler-1600 c,3363,4.43 Earths,16.076,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8276/kepler-1600-c/
Kepler-1601 b,2102,0.477 Earths,13.842,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2247/kepler-1601-b/
Kepler-1602 b,2054,2.36 Earths,13.362,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2248/kepler-1602-b/
Kepler-1603 b,8848,2.21 Earths,15.397,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2249/kepler-1603-b/
Kepler-1604 b,1765,2.57 Earths,15.224,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2250/kepler-1604-b/
Kepler-1605 b,1782,1.28 Earths,12.592,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2251/kepler-1605-b/
Kepler-1606 b,2712,4.94 Earths,15.396,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2252/kepler-1606-b/
Kepler-1607 b,4195,0.721 Earths,13.969,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2253/kepler-1607-b/
Kepler-1608 b,2714,3.64 Earths,16.265,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2254/kepler-1608-b/
Kepler-1609 b,5957,5.56 Earths,15.159,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2255/kepler-1609-b/
Kepler-160 b,3057,3.59 Earths,14.816,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1756/kepler-160-b/
Kepler-160 c,3057,13.6 Earths,14.816,2014,https://exoplanets.nasa.gov/exoplanet-catalog/5954/kepler-160-c/
Kepler-160 d,3057,0.31463 Jupiters,14.816,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7639/kepler-160-d/
Kepler-1610 b,2819,3.22 Earths,16.077,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2256/kepler-1610-b/
Kepler-1611 b,2963,0.457 Earths,14.627,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2257/kepler-1611-b/
Kepler-1612 b,2495,1.08 Earths,14.936,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2258/kepler-1612-b/
Kepler-1613 b,4920,4.98 Earths,14.192,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2259/kepler-1613-b/
Kepler-1614 b,3886,2.83 Earths,16.01,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2260/kepler-1614-b/
Kepler-1615 b,4547,4.9 Earths,14.603,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2261/kepler-1615-b/
Kepler-1616 b,3712,1.04 Earths,13.491,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2262/kepler-1616-b/
Kepler-1617 b,2930,1.87 Earths,13.811,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2263/kepler-1617-b/
Kepler-1618 b,4010,2.13 Earths,13.672,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2264/kepler-1618-b/
Kepler-1619 b,2397,0.363 Earths,13.438,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2265/kepler-1619-b/
Kepler-161 b,1418,12.1 Earths,14.406,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1757/kepler-161-b/
Kepler-161 c,1418,11.8 Earths,14.406,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1758/kepler-161-c/
Kepler-1620 b,2920,3.22 Earths,13.69,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2266/kepler-1620-b/
Kepler-1621 b,5322,5.31 Earths,15.151,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2267/kepler-1621-b/
Kepler-1622 b,2598,2.76 Earths,13.437,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2268/kepler-1622-b/
Kepler-1623 b,2732,2.27 Earths,15.205,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2269/kepler-1623-b/
Kepler-1624 b,845,27.6 Earths,16.597,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2270/kepler-1624-b/
Kepler-1625 b,7536,30.6 Earths,16.227,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2271/kepler-1625-b/
Kepler-1626 b,4465,4.74 Earths,14.357,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2272/kepler-1626-b/
Kepler-1627 b,1035,13.2 Earths,13.111,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2273/kepler-1627-b/
Kepler-1628 b,1148,33.8 Earths,17.8298,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2274/kepler-1628-b/
Kepler-1629 b,1096,0.381 Earths,12.786,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2275/kepler-1629-b/
Kepler-162 b,2791,2.13 Earths,14.351,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1759/kepler-162-b/
Kepler-162 c,2791,9.43 Earths,14.351,2014,https://exoplanets.nasa.gov/exoplanet-catalog/619/kepler-162-c/
Kepler-1630 b,1080,5.43 Earths,14.278,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2276/kepler-1630-b/
Kepler-1631 b,4260,2.39 Earths,15.673,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2277/kepler-1631-b/
Kepler-1632 b,2338,6.66 Earths,13.22,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2278/kepler-1632-b/
Kepler-1633 b,3637,3.12 Earths,13.516,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2279/kepler-1633-b/
Kepler-1634 b,2014,10.3 Earths,14.636,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2280/kepler-1634-b/
Kepler-1635 b,3489,12.9 Earths,15.82,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2281/kepler-1635-b/
Kepler-1636 b,6353,10.5 Earths,15.807,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2282/kepler-1636-b/
Kepler-1637 b,1850,0.64 Earths,13.375,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2283/kepler-1637-b/
Kepler-1638 b,4976,4.16 Earths,14.769,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2284/kepler-1638-b/
Kepler-1639 b,3364,7.18 Earths,14.593,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2285/kepler-1639-b/
Kepler-1619 b,2397,0.363 Earths,13.438,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2265/kepler-1619-b/
Kepler-161 b,1418,12.1 Earths,14.406,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1757/kepler-161-b/
Kepler-161 c,1418,11.8 Earths,14.406,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1758/kepler-161-c/
Kepler-1620 b,2920,3.22 Earths,13.69,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2266/kepler-1620-b/
Kepler-1621 b,5322,5.31 Earths,15.151,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2267/kepler-1621-b/
Kepler-1622 b,2598,2.76 Earths,13.437,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2268/kepler-1622-b/
Kepler-1623 b,2732,2.27 Earths,15.205,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2269/kepler-1623-b/
Kepler-1624 b,845,27.6 Earths,16.597,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2270/kepler-1624-b/
Kepler-1625 b,7536,30.6 Earths,16.227,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2271/kepler-1625-b/
Kepler-1626 b,4465,4.74 Earths,14.357,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2272/kepler-1626-b/
Kepler-1627 b,1035,13.2 Earths,13.111,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2273/kepler-1627-b/
Kepler-1628 b,1148,33.8 Earths,17.8298,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2274/kepler-1628-b/
Kepler-1629 b,1096,0.381 Earths,12.786,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2275/kepler-1629-b/
Kepler-162 b,2791,2.13 Earths,14.351,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1759/kepler-162-b/
Kepler-162 c,2791,9.43 Earths,14.351,2014,https://exoplanets.nasa.gov/exoplanet-catalog/619/kepler-162-c/
Kepler-1630 b,1080,5.43 Earths,14.278,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2276/kepler-1630-b/
Kepler-1631 b,4260,2.39 Earths,15.673,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2277/kepler-1631-b/
Kepler-1632 b,2338,6.66 Earths,13.22,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2278/kepler-1632-b/
Kepler-1633 b,3637,3.12 Earths,13.516,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2279/kepler-1633-b/
Kepler-1634 b,2014,10.3 Earths,14.636,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2280/kepler-1634-b/
Kepler-1635 b,3489,12.9 Earths,15.82,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2281/kepler-1635-b/
Kepler-1636 b,6353,10.5 Earths,15.807,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2282/kepler-1636-b/
Kepler-1637 b,1850,0.64 Earths,13.375,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2283/kepler-1637-b/
Kepler-1638 b,4976,4.16 Earths,14.769,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2284/kepler-1638-b/
Kepler-1639 b,3364,7.18 Earths,14.593,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2285/kepler-1639-b/
Kepler-1619 b,2397,0.363 Earths,13.438,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2265/kepler-1619-b/
Kepler-161 b,1418,12.1 Earths,14.406,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1757/kepler-161-b/
Kepler-161 c,1418,11.8 Earths,14.406,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1758/kepler-161-c/
Kepler-1620 b,2920,3.22 Earths,13.69,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2266/kepler-1620-b/
Kepler-1621 b,5322,5.31 Earths,15.151,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2267/kepler-1621-b/
Kepler-1622 b,2598,2.76 Earths,13.437,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2268/kepler-1622-b/
Kepler-1623 b,2732,2.27 Earths,15.205,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2269/kepler-1623-b/
Kepler-1624 b,845,27.6 Earths,16.597,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2270/kepler-1624-b/
Kepler-1625 b,7536,30.6 Earths,16.227,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2271/kepler-1625-b/
Kepler-1626 b,4465,4.74 Earths,14.357,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2272/kepler-1626-b/
Kepler-1627 b,1035,13.2 Earths,13.111,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2273/kepler-1627-b/
Kepler-1628 b,1148,33.8 Earths,17.8298,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2274/kepler-1628-b/
Kepler-1629 b,1096,0.381 Earths,12.786,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2275/kepler-1629-b/
Kepler-162 b,2791,2.13 Earths,14.351,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1759/kepler-162-b/
Kepler-162 c,2791,9.43 Earths,14.351,2014,https://exoplanets.nasa.gov/exoplanet-catalog/619/kepler-162-c/
Kepler-1630 b,1080,5.43 Earths,14.278,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2276/kepler-1630-b/
Kepler-1631 b,4260,2.39 Earths,15.673,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2277/kepler-1631-b/
Kepler-1632 b,2338,6.66 Earths,13.22,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2278/kepler-1632-b/
Kepler-1633 b,3637,3.12 Earths,13.516,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2279/kepler-1633-b/
Kepler-1634 b,2014,10.3 Earths,14.636,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2280/kepler-1634-b/
Kepler-1635 b,3489,12.9 Earths,15.82,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2281/kepler-1635-b/
Kepler-1636 b,6353,10.5 Earths,15.807,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2282/kepler-1636-b/
Kepler-1637 b,1850,0.64 Earths,13.375,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2283/kepler-1637-b/
Kepler-1638 b,4976,4.16 Earths,14.769,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2284/kepler-1638-b/
Kepler-1639 b,3364,7.18 Earths,14.593,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2285/kepler-1639-b/
Kepler-1619 b,2397,0.363 Earths,13.438,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2265/kepler-1619-b/
Kepler-161 b,1418,12.1 Earths,14.406,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1757/kepler-161-b/
Kepler-161 c,1418,11.8 Earths,14.406,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1758/kepler-161-c/
Kepler-1620 b,2920,3.22 Earths,13.69,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2266/kepler-1620-b/
Kepler-1621 b,5322,5.31 Earths,15.151,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2267/kepler-1621-b/
Kepler-1622 b,2598,2.76 Earths,13.437,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2268/kepler-1622-b/
Kepler-1623 b,2732,2.27 Earths,15.205,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2269/kepler-1623-b/
Kepler-1624 b,845,27.6 Earths,16.597,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2270/kepler-1624-b/
Kepler-1625 b,7536,30.6 Earths,16.227,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2271/kepler-1625-b/
Kepler-1626 b,4465,4.74 Earths,14.357,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2272/kepler-1626-b/
Kepler-1627 b,1035,13.2 Earths,13.111,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2273/kepler-1627-b/
Kepler-1628 b,1148,33.8 Earths,17.8298,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2274/kepler-1628-b/
Kepler-1629 b,1096,0.381 Earths,12.786,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2275/kepler-1629-b/
Kepler-162 b,2791,2.13 Earths,14.351,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1759/kepler-162-b/
Kepler-162 c,2791,9.43 Earths,14.351,2014,https://exoplanets.nasa.gov/exoplanet-catalog/619/kepler-162-c/
Kepler-1630 b,1080,5.43 Earths,14.278,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2276/kepler-1630-b/
Kepler-1631 b,4260,2.39 Earths,15.673,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2277/kepler-1631-b/
Kepler-1632 b,2338,6.66 Earths,13.22,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2278/kepler-1632-b/
Kepler-1633 b,3637,3.12 Earths,13.516,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2279/kepler-1633-b/
Kepler-1634 b,2014,10.3 Earths,14.636,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2280/kepler-1634-b/
Kepler-1635 b,3489,12.9 Earths,15.82,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2281/kepler-1635-b/
Kepler-1636 b,6353,10.5 Earths,15.807,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2282/kepler-1636-b/
Kepler-1637 b,1850,0.64 Earths,13.375,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2283/kepler-1637-b/
Kepler-1638 b,4976,4.16 Earths,14.769,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2284/kepler-1638-b/
Kepler-1639 b,3364,7.18 Earths,14.593,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2285/kepler-1639-b/
Kepler-1619 b,2397,0.363 Earths,13.438,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2265/kepler-1619-b/
Kepler-161 b,1418,12.1 Earths,14.406,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1757/kepler-161-b/
Kepler-161 c,1418,11.8 Earths,14.406,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1758/kepler-161-c/
Kepler-1620 b,2920,3.22 Earths,13.69,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2266/kepler-1620-b/
Kepler-1621 b,5322,5.31 Earths,15.151,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2267/kepler-1621-b/
Kepler-1622 b,2598,2.76 Earths,13.437,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2268/kepler-1622-b/
Kepler-1623 b,2732,2.27 Earths,15.205,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2269/kepler-1623-b/
Kepler-1624 b,845,27.6 Earths,16.597,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2270/kepler-1624-b/
Kepler-1625 b,7536,30.6 Earths,16.227,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2271/kepler-1625-b/
Kepler-1626 b,4465,4.74 Earths,14.357,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2272/kepler-1626-b/
Kepler-1627 b,1035,13.2 Earths,13.111,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2273/kepler-1627-b/
Kepler-1628 b,1148,33.8 Earths,17.8298,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2274/kepler-1628-b/
Kepler-1629 b,1096,0.381 Earths,12.786,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2275/kepler-1629-b/
Kepler-162 b,2791,2.13 Earths,14.351,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1759/kepler-162-b/
Kepler-162 c,2791,9.43 Earths,14.351,2014,https://exoplanets.nasa.gov/exoplanet-catalog/619/kepler-162-c/
Kepler-1630 b,1080,5.43 Earths,14.278,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2276/kepler-1630-b/
Kepler-1631 b,4260,2.39 Earths,15.673,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2277/kepler-1631-b/
Kepler-1632 b,2338,6.66 Earths,13.22,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2278/kepler-1632-b/
Kepler-1633 b,3637,3.12 Earths,13.516,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2279/kepler-1633-b/
Kepler-1634 b,2014,10.3 Earths,14.636,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2280/kepler-1634-b/
Kepler-1635 b,3489,12.9 Earths,15.82,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2281/kepler-1635-b/
Kepler-1636 b,6353,10.5 Earths,15.807,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2282/kepler-1636-b/
Kepler-1637 b,1850,0.64 Earths,13.375,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2283/kepler-1637-b/
Kepler-1638 b,4976,4.16 Earths,14.769,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2284/kepler-1638-b/
Kepler-1639 b,3364,7.18 Earths,14.593,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2285/kepler-1639-b/
Kepler-163 b,2250,1.16 Earths,14.467,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1760/kepler-163-b/
Kepler-163 c,2250,5.73 Earths,14.467,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1761/kepler-163-c/
Kepler-1640 b,6067,20.7 Earths,14.754,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2286/kepler-1640-b/
Kepler-1641 b,2807,9.85 Earths,14.49,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2287/kepler-1641-b/
Kepler-1641 c,2807,9.01 Earths,14.49,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2288/kepler-1641-c/
Kepler-1642 b,1350,10.3 Earths,14.319,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2289/kepler-1642-b/
Kepler-1642 c,1350,7.56 Earths,14.319,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2290/kepler-1642-c/
Kepler-1643 b,1115,5.9 Earths,14.072,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2291/kepler-1643-b/
Kepler-1644 b,2053,4.19 Earths,14.397,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2292/kepler-1644-b/
Kepler-1645 b,3922,3.82 Earths,14.566,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2293/kepler-1645-b/
Kepler-1646 b,416,2.04 Earths,16.8419,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2294/kepler-1646-b/
